time_local,cpm_mean,cpm_min,cpm_max,cpm_median,n,usv_mean,usv_min,usv_max,usv_median
2026-09-22T16:00:00,14.7833,9.0,21.0,14.5,60,0.096,0.058,0.137,0.094
2026-09-22T17:00:00,14.2833,6.0,22.0,14.0,60,0.0928,0.039,0.143,0.091
2026-09-22T18:00:00,15.7667,4.0,25.0,16.0,60,0.1025,0.026,0.162,0.104
2026-09-22T19:00:00,13.9833,6.0,22.0,14.0,60,0.0907,0.039,0.143,0.091
2026-09-22T20:00:00,14.85,7.0,25.0,15.0,60,0.0964,0.045,0.162,0.097
2026-09-22T21:00:00,13.9667,8.0,24.0,13.0,60,0.0907,0.052,0.156,0.084
2026-09-22T22:00:00,15.8333,8.0,24.0,16.0,60,0.1028,0.052,0.156,0.104
2026-09-22T23:00:00,14.6,6.0,24.0,15.0,60,0.0949,0.039,0.156,0.097
2026-09-23T00:00:00,15.2667,6.0,27.0,15.0,60,0.0992,0.039,0.176,0.097
2026-09-23T01:00:00,15.4333,5.0,28.0,14.5,60,0.1003,0.032,0.182,0.094
2026-09-23T02:00:00,14.75,5.0,23.0,15.0,60,0.0958,0.032,0.149,0.097
2026-09-23T03:00:00,14.8833,7.0,24.0,14.5,60,0.0966,0.045,0.156,0.094
2026-09-23T04:00:00,15.35,7.0,29.0,15.0,60,0.0997,0.045,0.189,0.097
2026-09-23T05:00:00,14.9833,5.0,22.0,15.0,60,0.0973,0.032,0.143,0.097
2026-09-23T06:00:00,14.8,8.0,24.0,14.0,60,0.0962,0.052,0.156,0.091
2026-09-23T07:00:00,14.2833,4.0,25.0,14.0,60,0.0927,0.026,0.162,0.091
2026-09-23T08:00:00,14.7833,8.0,23.0,14.0,60,0.096,0.052,0.149,0.091
2026-09-23T09:00:00,15.2,6.0,28.0,15.0,60,0.0987,0.039,0.182,0.097
2026-09-23T10:00:00,13.95,6.0,23.0,14.0,60,0.0906,0.039,0.149,0.091
2026-09-23T11:00:00,15.15,8.0,28.0,15.0,60,0.0984,0.052,0.182,0.097
2026-09-23T12:00:00,14.95,7.0,28.0,15.0,60,0.0972,0.045,0.182,0.097
2026-09-23T13:00:00,15.8,7.0,27.0,15.0,60,0.1026,0.045,0.176,0.097
2026-09-23T14:00:00,14.4333,7.0,22.0,15.0,60,0.0938,0.045,0.143,0.097
2026-09-23T15:00:00,14.4833,8.0,22.0,14.5,60,0.094,0.052,0.143,0.094
2026-09-23T16:00:00,13.7167,5.0,24.0,13.0,60,0.0891,0.032,0.156,0.084
2026-09-23T17:00:00,14.2,8.0,25.0,14.0,60,0.0922,0.052,0.162,0.091
2026-09-23T18:00:00,14.0333,7.0,23.0,14.0,60,0.0912,0.045,0.149,0.091
2026-09-23T19:00:00,14.9667,6.0,25.0,15.0,60,0.0971,0.039,0.162,0.097
2026-09-23T20:00:00,15.4333,8.0,27.0,15.0,60,0.1003,0.052,0.176,0.097
2026-09-23T21:00:00,15.1667,7.0,24.0,15.5,60,0.0986,0.045,0.156,0.1005
2026-09-23T22:00:00,15.8333,6.0,28.0,16.0,60,0.1028,0.039,0.182,0.104
2026-09-23T23:00:00,15.4667,6.0,26.0,15.5,60,0.1005,0.039,0.169,0.1005
2026-09-24T00:00:00,14.3667,8.0,24.0,14.0,60,0.0933,0.052,0.156,0.091
2026-09-24T01:00:00,14.7167,6.0,23.0,14.0,60,0.0956,0.039,0.149,0.091
2026-09-24T02:00:00,14.5667,8.0,25.0,14.0,60,0.0946,0.052,0.162,0.091
2026-09-24T03:00:00,15.1333,6.0,28.0,15.0,60,0.0983,0.039,0.182,0.097
2026-09-24T04:00:00,15.4833,4.0,22.0,16.0,60,0.1006,0.026,0.143,0.104
2026-09-24T05:00:00,14.8,6.0,23.0,15.0,60,0.0961,0.039,0.149,0.097
2026-09-24T06:00:00,14.6833,7.0,28.0,14.5,60,0.0954,0.045,0.182,0.094
2026-09-24T07:00:00,14.95,6.0,25.0,14.5,60,0.097,0.039,0.162,0.094
2026-09-24T08:00:00,15.3667,8.0,25.0,15.0,60,0.0998,0.052,0.162,0.097
2026-09-24T09:00:00,14.9167,8.0,23.0,15.0,60,0.0969,0.052,0.149,0.097
2026-09-24T10:00:00,15.0667,5.0,24.0,15.0,60,0.0979,0.032,0.156,0.097
2026-09-24T11:00:00,14.3667,5.0,24.0,14.0,60,0.0933,0.032,0.156,0.091
2026-09-24T12:00:00,14.4167,5.0,23.0,14.5,60,0.0937,0.032,0.149,0.094
2026-09-24T13:00:00,14.9,6.0,21.0,15.0,60,0.0968,0.039,0.137,0.097
2026-09-24T14:00:00,14.7167,8.0,24.0,15.0,60,0.0956,0.052,0.156,0.097
2026-09-24T15:00:00,14.9833,9.0,24.0,15.0,60,0.0973,0.058,0.156,0.097
2026-09-24T16:00:00,14.4167,7.0,23.0,14.0,60,0.0936,0.045,0.149,0.091
2026-09-24T17:00:00,14.6333,3.0,23.0,14.5,60,0.095,0.02,0.149,0.094
